lookback_hours,lookback_bars,tp_atr_mult,tp_swing_fraction,sl_atr_mult,sl_swing_fraction,min_tp_major,min_sl_major,min_tp_jpy,min_sl_jpy,val_trades,val_wins,val_losses,val_win_rate,val_net_pips,val_expectancy_pips,val_profit_factor,val_max_drawdown_pips,val_score,val_avg_tp_pips,val_avg_sl_pips,val_tp_hits,val_sl_hits,val_timeouts,test_trades,test_wins,test_losses,test_win_rate,test_net_pips,test_expectancy_pips,test_profit_factor,test_max_drawdown_pips,test_score,test_avg_tp_pips,test_avg_sl_pips,test_tp_hits,test_sl_hits,test_timeouts
5,60,1.5,0.55,1.2,0.15,14,12,38,24,41,26,15,63.41463414634146,925.53,22.57390243902439,4.7190042794285505,60.00000000000273,895.5299999999986,55.28963414634162,20.88841463414636,17,11,13,57,21,36,36.84210526315789,93.64499999998662,1.6428947368418705,1.1464851082467535,162.72500000000605,12.2824999999836,50.78692982456135,21.45736842105262,10,25,22
5,60,1.8,0.55,0.8,0.15,14,12,38,24,41,26,15,63.41463414634146,925.53,22.57390243902439,4.7190042794285505,60.00000000000273,895.5299999999986,55.28963414634162,20.88841463414636,17,11,13,57,21,36,36.84210526315789,93.64499999998662,1.6428947368418705,1.1464851082467535,162.72500000000605,12.2824999999836,50.78692982456135,21.45736842105262,10,25,22
5,60,1.8,0.55,1.0,0.15,14,12,38,24,41,26,15,63.41463414634146,925.53,22.57390243902439,4.7190042794285505,60.00000000000273,895.5299999999986,55.28963414634162,20.88841463414636,17,11,13,57,21,36,36.84210526315789,93.64499999998662,1.6428947368418705,1.1464851082467535,162.72500000000605,12.2824999999836,50.78692982456135,21.45736842105262,10,25,22
5,60,1.8,0.55,1.2,0.15,14,12,38,24,41,26,15,63.41463414634146,925.53,22.57390243902439,4.7190042794285505,60.00000000000273,895.5299999999986,55.28963414634162,20.88841463414636,17,11,13,57,21,36,36.84210526315789,93.64499999998662,1.6428947368418705,1.1464851082467535,162.72500000000605,12.2824999999836,50.78692982456135,21.45736842105262,10,25,22
5,60,1.5,0.55,0.8,0.15,10,8,38,20,42,24,18,57.14285714285714,918.075000000008,21.858928571428763,4.811574948622804,47.999999999996874,894.0750000000096,54.005595238095374,17.855357142857162,17,14,11,58,20,38,34.48275862068966,96.86500000002405,1.6700862068969664,1.1609200176096282,182.72499999999354,5.502500000027283,50.41948275862067,18.38646551724137,10,29,19
5,60,1.5,0.55,1.0,0.15,10,8,38,20,42,24,18,57.14285714285714,918.075000000008,21.858928571428763,4.811574948622804,47.999999999996874,894.0750000000096,54.005595238095374,17.855357142857162,17,14,11,58,20,38,34.48275862068966,96.86500000002405,1.6700862068969664,1.1609200176096282,182.72499999999354,5.502500000027283,50.41948275862067,18.38646551724137,10,29,19
5,60,1.5,0.55,1.2,0.15,10,8,38,20,42,24,18,57.14285714285714,918.075000000008,21.858928571428763,4.811574948622804,47.999999999996874,894.0750000000096,54.005595238095374,17.855357142857162,17,14,11,58,20,38,34.48275862068966,93.21900000002353,1.60722413793144,1.153930623143387,186.37099999999407,0.03350000002649267,50.41948275862067,18.494793103448266,10,29,19
5,60,1.8,0.55,0.8,0.15,10,8,38,20,42,24,18,57.14285714285714,918.075000000008,21.858928571428763,4.811574948622804,47.999999999996874,894.0750000000096,54.005595238095374,17.855357142857162,17,14,11,58,20,38,34.48275862068966,96.86500000002405,1.6700862068969664,1.1609200176096282,182.72499999999354,5.502500000027283,50.41948275862067,18.38646551724137,10,29,19
5,60,1.8,0.55,1.0,0.15,10,8,38,20,42,24,18,57.14285714285714,918.075000000008,21.858928571428763,4.811574948622804,47.999999999996874,894.0750000000096,54.005595238095374,17.855357142857162,17,14,11,58,20,38,34.48275862068966,96.86500000002405,1.6700862068969664,1.1609200176096282,182.72499999999354,5.502500000027283,50.41948275862067,18.38646551724137,10,29,19
5,60,1.8,0.55,1.2,0.15,10,8,38,20,42,24,18,57.14285714285714,918.075000000008,21.858928571428763,4.811574948622804,47.999999999996874,894.0750000000096,54.005595238095374,17.855357142857162,17,14,11,58,20,38,34.48275862068966,93.21900000002353,1.60722413793144,1.153930623143387,186.37099999999407,0.03350000002649267,50.41948275862067,18.494793103448266,10,29,19
5,60,1.5,0.55,0.8,0.15,10,12,30,20,41,26,15,63.41463414634146,919.9650000000094,22.438170731707544,4.8839212209487215,51.999999999998636,893.96500000001,53.75365853658551,19.376829268292706,18,11,12,58,21,37,36.206896551724135,116.76000000002068,2.0131034482762185,1.193264861912328,182.72499999999354,25.39750000002391,49.24551724137927,19.48991379310344,11,26,21
5,60,1.5,0.55,1.0,0.15,10,12,30,20,41,26,15,63.41463414634146,919.9650000000094,22.438170731707544,4.8839212209487215,51.999999999998636,893.96500000001,53.75365853658551,19.376829268292706,18,11,12,58,21,37,36.206896551724135,116.76000000002068,2.0131034482762185,1.193264861912328,182.72499999999354,25.39750000002391,49.24551724137927,19.48991379310344,11,26,21
5,60,1.5,0.55,1.2,0.15,10,12,30,20,41,26,15,63.41463414634146,919.9650000000094,22.438170731707544,4.8839212209487215,51.999999999998636,893.96500000001,53.75365853658551,19.376829268292706,18,11,12,58,21,37,36.206896551724135,113.11400000002016,1.9502413793106923,1.1861067373488958,186.37099999999407,19.92850000002312,49.24551724137927,19.598241379310334,11,26,21
5,60,1.8,0.55,0.8,0.15,10,12,30,20,41,26,15,63.41463414634146,919.9650000000094,22.438170731707544,4.8839212209487215,51.999999999998636,893.96500000001,53.75365853658551,19.376829268292706,18,11,12,58,21,37,36.206896551724135,116.76000000002068,2.0131034482762185,1.193264861912328,182.72499999999354,25.39750000002391,49.24551724137927,19.48991379310344,11,26,21
